site,trap,trap_id,day,ind,sex,species,uniqueID,carapace,mass,leeches,date,recap
A,5,5,1,100,F,CPIC,CPIC100,121,270,1,6/7/18,N
A,7,7,4,100,F,CPIC,CPIC100,121,270,0,6/10/18,R
E,12,38,4,1000,F,CPIC,CPIC1000,154,495,1,22-06-2018,N
F,5,45,1,1001,F,CPIC,CPIC1001,158,420,4,26-06-2018,N
F,4,44,1,1002,U,CPIC,CPIC1002,86,80,0,26-06-2018,N
F,4,44,1,1004,M,CPIC,CPIC1004,137,300,1,26-06-2018,N
L,6,86,2,1005,M,CPIC,CPIC1005,136,285,6,20-07-2018,N
N,1,103,1,1007,M,CPIC,CPIC1007,119,190,0,8/8/18,N
K,7,77,1,1009,M,CPIC,CPIC1009,129,240,0,18-07-2018,N
A,7,7,3,101,F,CPIC,CPIC101,145,375,4,6/9/18,N
M,1,91,1,1011,F,CPIC,CPIC1011,151,425,NA,29-07-2018,N
A,4,4,3,102,M,CPIC,CPIC102,103,140,0,6/9/18,N
N,10,112,1,1021,M,CPIC,CPIC1021,140,305,0,8/8/18,N
M,12,102,1,1024,M,CPIC,CPIC1024,130,240,0,29-07-2018,N
E,10,36,1,103,F,CPIC,CPIC103,154,430,1,19-06-2018,N
E,3,29,4,103,F,CPIC,CPIC103,155,460,0,22-06-2018,R
A,5,5,3,104,M,CPIC,CPIC104,132,280,0,6/9/18,N
E,9,35,1,105,M,CPIC,CPIC105,119,210,2,19-06-2018,N
A,8,8,3,106,M,CPIC,CPIC106,104,150,0,6/9/18,N
A,5,5,3,107,F,CPIC,CPIC107,117,225,1,6/9/18,N
M,1,91,4,1078,M,CPIC,CPIC1078,136,300,2,8/1/18,N
L,5,85,1,109,M,CPIC,CPIC109,123,180,1,19-07-2018,N
K,1,71,4,11,M,CPIC,CPIC11,140,320,9,21-07-2018,R
A,3,3,1,110,F,CPIC,CPIC110,135,330,0,6/7/18,N
F,2,42,1,1103,F,CPIC,CPIC1103,131,310,NA,26-06-2018,N
D,7,25,1,111,F,CPIC,CPIC111,119,215,0,13-06-2018,N
F,2,42,1,1110,M,CPIC,CPIC1110,114,190,NA,26-06-2018,N
D,7,25,1,112,M,CPIC,CPIC112,146,340,2,13-06-2018,N
E,10,36,1,113,F,CPIC,CPIC113,152,460,6,19-06-2018,N
F,6,46,1,1135,M,CPIC,CPIC1135,136,280,0,26-06-2018,N
D,7,25,1,114,M,CPIC,CPIC114,141,325,0,13-06-2018,N
E,9,35,1,115,F,CPIC,CPIC115,146,430,4,19-06-2018,N
F,6,46,1,116,M,CPIC,CPIC116,131,265,0,26-06-2018,N
E,11,37,3,117,F,CPIC,CPIC117,165,560,3,21-06-2018,N
K,10,80,1,118,M,CPIC,CPIC118,138,350,2,18-07-2018,N
K,8,79,1,119,F,CPIC,CPIC119,161,530,1,18-07-2018,N
A,1,1,1,120,M,CPIC,CPIC120,134,290,0,6/7/18,N
A,7,7,4,120,M,CPIC,CPIC120,134,30,0,6/10/18,R
C,8,16,1,121,M,CPIC,CPIC121,123,240,1,6/12/18,N
E,10,36,1,122,M,CPIC,CPIC122,135,260,1,19-06-2018,N
E,5,31,3,123,M,CPIC,CPIC123,116,215,8,21-06-2018,N
D,7,25,1,124,F,CPIC,CPIC124,153,465,5,13-06-2018,N
E,5,31,3,125,F,CPIC,CPIC125,136,400,1,21-06-2018,N
F,6,46,1,126,M,CPIC,CPIC126,132,250,1,26-06-2018,N
F,2,42,4,126,M,CPIC,CPIC126,130,240,0,29-06-2018,R
E,9,35,3,127,M,CPIC,CPIC127,128,290,0,21-06-2018,N
L,5,85,1,128,M,CPIC,CPIC128,122,220,0,19-07-2018,N
L,5,85,1,129,U,CPIC,CPIC129,76,55,2,19-07-2018,N
C,4,12,3,130,M,CPIC,CPIC130,132,250,1,14-06-2018,N
G,1,48,3,1300,M,CPIC,CPIC1300,108,150,1,7/5/18,N
G,1,48,3,1301,M,CPIC,CPIC1301,114,180,0,7/5/18,N
G,1,48,3,1302,M,CPIC,CPIC1302,116,175,1,7/5/18,N
G,1,48,3,1304,M,CPIC,CPIC1304,132,230,2,7/5/18,N
O,8,120,1,1306,M,CPIC,CPIC1306,121,240,0,16-08-2018,N
O,8,120,4,1306,M,CPIC,CPIC1306,124,240,0,19-08-2018,R
F,6,46,1,131,M,CPIC,CPIC131,135,250,0,26-06-2018,N
G,7,54,4,1310,M,CPIC,CPIC1310,114,155,0,7/6/18,N
F,6,46,1,132,M,CPIC,CPIC132,118,195,0,26-06-2018,N
F,2,42,2,132,M,CPIC,CPIC132,117,200,0,27-06-2018,R
G,7,54,4,1320,F,CPIC,CPIC1320,152,410,1,7/6/18,N
F,5,45,1,133,M,CPIC,CPIC133,133,290,2,26-06-2018,N
