PointID,PointIDtied,BirdID,Use,Sex,Age,Latitude,Longitude,Date,Year,PerchType,DetailPerchType,PerchH,Crops11,Water11,WaterType11,WaterDavg11,Wire100,WireAvg100,Ditches100,DitchWavg100,DitchDavg100,GrassWavg100,GrassHavg100,Wire250,WireAvg250,WoodyPerches250,WoodyAvg250,NonnatPerches250,NonnatAvg250,TotalPerches250,Ditches250,DitchWavg250,DitchDavg250,GrassWavg250,GrassHavg250,Corn500,Cotton500,Rice500,Soy500,Fallow500,Develop500,Forest500
Alex Obs 1a,Alex1a,Alex,1,M,ASY,35.74673,-90.51185,2/3/2017,1,wire,utility wire,7,1,0,none,0,200,6.75,1,1.75,0.525,3,0.25,500,6.75,5,8,25,3.5,30,3,1.766666667,0.483333333,3.666666667,0.25,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 1a,Alex1a,Alex,0,M,ASY,35.74929,-90.51208,2/3/2017,1,stubble,soy stubble,0.1,1,0,none,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Alex Obs 2a,Alex2a,Alex,1,M,ASY,35.74852,-90.50884,2/9/2017,1,wire,utility wire,7,1,0,none,0,200,6.75,2,1.775,0.35,5,0.25,550,6.75,5,8,25,4,30,3,1.766666667,0.483333333,11.5,0.25,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 2a,Alex2a,Alex,0,M,ASY,35.74897,-90.50968,2/9/2017,1,stubble,soy stubble,0.05,1,0,none,0,150,6.75,2,1.775,0.35,5,0.25,480,6.75,0,0,11,3.5,11,2,1.775,0.35,5,0.25,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Alex Obs 3a,Alex3a,Alex,1,M,ASY,35.7475,-90.50901,2/17/2017,1,wire,utility wire,5.6,1,0,none,0,215,6.75,2,1.775,0.35,5,0.25,540,6.75,5,8,24,3.5,29,3,1.766666667,0.483333333,11.5,0.25,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 3a,Alex3a,Alex,0,M,ASY,35.74696,-90.50883,2/17/2017,1,natural,dirt mound,0.1,1,0,none,0,140,6.75,1,1.8,0.4,20,0.25,530,6.75,5,8,22,3.5,27,3,1.766666667,0.483333333,15,0.25,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Alex Obs 4a,Alex4a,Alex,1,M,ASY,35.74828,-90.509,2/22/2017,1,wire,utility wire,6,1,0,none,0,200,6.75,2,1.775,0.35,5,0.25,550,6.75,5,8,23,4,28,3,1.766666667,0.483333333,11.5,0.25,3.781522235,61.87945475,0,27.61657147,0,5.958762309,0
Alex Ran 4a,Alex4a,Alex,0,M,ASY,35.74675,-90.5094,2/22/2017,1,natural,tree,5,1,0,none,0,200,6.75,2,1.775,0.575,13.66666667,0.25,490,6.75,5,8,25,3.5,30,3,1.766666667,0.483333333,11.5,0.25,1.260507412,65.20261065,0,27.15820514,0,6.302537058,0
Borneo Obs 1,Borneo1,Borneo,1,M,ASY,35.65612,-90.57156,2/1/2017,1,wire,utility wire,5,1,1,ditch,0.15,240,6.5,2,1.5,0.375,29,0.175,540,6.5,101,4,60,2,161,2,1.5,0.375,29,0.175,3.20856432,6.760903389,13.06344045,66.00475173,4.239888566,3.896113817,0
Borneo Ran 1,Borneo1,Borneo,0,M,ASY,35.65706,-90.57291,2/1/2017,1,natural,tree,10,1,0,none,0,200,6.5,2,1.5,0.375,29,0.175,620,6.5,101,4,60,2,161,2,1.5,0.375,29,0.175,6.245241266,3.036676946,26.98631777,54.1445229,2.177240074,4.698254898,0
